School Number,School Type,Grade 1 Enrolment,Grade 2 Enrolment,Grade 3 Enrolment,Grade 4 Enrolment,Grade 5 Enrolment,Grade 6 Enrolment,Grade 7 Enrolment,Grade 8 Enrolment
687677,Catholic,25,15,20,15,20,15,10,15
687936,Catholic,20,15,20,15,20,25,0,0
815377,Catholic,0,0,0,0,0,0,40,55
685186,Catholic,25,40,25,40,35,35,0,0
707996,Catholic,10,10,10,10,10,10,10,10
723290,Catholic,25,25,20,20,25,15,0,0
723169,Catholic,35,25,35,30,0,0,0,0
805580,Catholic,0,0,0,0,0,0,0,0
740322,Catholic,10,10,0,0,10,0,10,10
736422,Catholic,10,10,10,0,10,10,10,10
807796,Catholic,25,30,30,25,30,20,30,15
798401,Catholic,15,25,30,30,0,0,0,0
705322,Catholic,0,0,0,0,30,30,125,105
835358,Catholic,45,35,40,40,40,40,0,0
785466,Catholic,15,10,10,10,10,15,10,10
836152,Catholic,0,0,0,0,0,0,55,40
853291,Catholic,10,10,10,10,10,10,10,10
787124,Catholic,50,55,50,0,0,0,0,0
793108,Catholic,10,10,10,10,10,10,10,0
794708,Catholic,15,20,20,30,15,10,0,0
815985,Catholic,25,15,25,20,15,15,0,0
707309,Catholic,10,10,10,10,10,10,10,10
819107,Catholic,0,0,0,0,30,40,60,40
860310,Catholic,10,10,10,10,0,0,0,0
863823,Catholic,15,10,20,10,10,10,10,15
862752,Catholic,0,0,0,0,0,0,15,20
754190,Catholic,10,10,10,10,10,10,10,10
767978,Catholic,0,0,0,0,0,0,25,30
705276,Catholic,0,0,0,0,0,0,210,235
752550,Catholic,0,0,0,0,0,0,265,255
750107,Catholic,0,0,0,0,0,0,155,175
752576,Catholic,0,0,0,0,0,0,215,195
696030,Catholic,0,0,0,0,0,0,65,45
705241,Catholic,0,0,0,0,0,0,60,50
752899,Catholic,0,0,0,0,0,0,210,195
685986,Catholic,0,0,0,0,0,0,240,215
718973,Catholic,0,0,0,0,0,0,235,255
751120,Catholic,0,0,0,0,0,0,185,200
735632,Catholic,25,25,25,25,25,30,0,0
731385,Catholic,50,50,70,60,70,70,0,0
705047,Catholic,45,50,60,60,50,65,0,0
866248,Catholic,25,20,20,10,15,10,0,0
769765,Catholic,55,50,60,55,55,60,0,0
705390,Catholic,45,55,60,60,75,70,0,0
741671,Catholic,45,45,30,35,40,45,0,0
764264,Catholic,20,20,20,10,25,15,0,0
703168,Catholic,70,55,60,55,45,65,0,0
705055,Catholic,65,55,60,70,55,55,0,0
864730,Catholic,35,45,45,45,40,50,0,0
701688,Catholic,25,30,40,35,35,30,0,0
722901,Catholic,35,35,30,30,30,25,0,0
705136,Catholic,30,30,30,50,30,45,0,0
696005,Catholic,80,65,50,85,75,60,0,0
744957,Catholic,35,25,35,45,50,25,0,0
701670,Catholic,30,25,20,20,20,10,10,10
865648,Catholic,45,35,50,40,45,50,0,0
725536,Catholic,65,50,60,55,60,60,0,0
734314,Catholic,30,60,45,60,55,55,0,0
753157,Catholic,30,35,25,35,35,30,0,0
705420,Catholic,45,40,30,35,35,40,0,0
732397,Catholic,80,65,60,70,70,60,0,0
761251,Catholic,20,20,20,25,10,15,10,10
735920,Catholic,60,65,55,60,50,55,0,0
796656,Catholic,55,60,60,65,60,65,0,0
688762,Catholic,35,45,45,50,40,50,0,0
705365,Catholic,30,20,35,30,25,45,0,0
753203,Catholic,45,30,30,25,20,15,0,0
793027,Catholic,45,30,50,30,55,30,0,0
701971,Catholic,25,20,25,30,25,25,10,10
156159,Catholic,50,60,60,50,55,60,0,0
703095,Catholic,40,30,40,40,40,60,0,0
752625,Catholic,40,70,45,60,50,60,0,0
860573,Catholic,25,30,20,25,20,25,0,0
709387,Catholic,45,45,55,40,55,45,0,0
861871,Catholic,75,70,85,60,70,85,0,0
733402,Catholic,45,50,60,70,65,50,0,0
730980,Catholic,15,10,10,15,10,10,0,0
709646,Catholic,20,25,25,35,25,25,0,0
740845,Catholic,15,10,15,15,15,20,10,10
861480,Catholic,60,65,65,65,70,75,0,0
703753,Catholic,60,65,65,60,50,45,0,0
725633,Catholic,55,55,55,55,40,40,0,0
786634,Catholic,50,60,45,35,40,40,0,0
865029,Catholic,10,10,10,10,10,10,10,10
871029,Catholic,40,40,35,40,45,35,40,50
737070,Catholic,25,25,25,20,20,35,30,20
738506,Catholic,20,20,10,15,10,10,15,10
774379,Catholic,30,25,25,20,15,25,25,30
754757,Catholic,10,15,10,10,10,10,0,0
717258,Catholic,10,10,10,0,0,10,10,10
774480,Catholic,15,20,10,15,10,10,10,10
775169,Catholic,10,30,15,25,35,15,20,15
687022,Catholic,10,10,10,10,10,10,10,0
786470,Catholic,40,30,40,25,35,35,20,35
787329,Catholic,35,30,15,20,15,15,0,0
811173,Catholic,10,10,10,10,10,15,15,15
806625,Catholic,20,15,15,25,20,10,15,10
761125,Catholic,30,30,20,0,0,0,0,0
811599,Catholic,10,10,10,10,10,10,10,10
809390,Catholic,15,15,15,20,20,15,15,15
705403,Catholic,20,15,10,10,15,15,10,15
846449,Catholic,20,15,20,20,20,20,20,10
704962,Catholic,0,10,10,10,10,10,10,10
789607,Catholic,15,10,20,10,10,20,10,20
860700,Catholic,10,10,10,10,10,10,0,0
