School Number,School Type,Grade 9 Enrolment,Grade 10 Enrolment,Grade 11 Enrolment,Grade 12 Enrolment
688231,Catholic,250,230,290,295
689726,Catholic,585,545,575,560
697125,Catholic,355,390,370,435
761182,Catholic,260,265,250,315
704300,Catholic,365,315,340,385
738271,Catholic,315,260,290,280
696392,Catholic,415,630,585,670
798010,Catholic,285,305,265,350
772099,Catholic,125,0,0,0
854212,Catholic,305,235,280,295
684465,Catholic,0,10,10,125
913715,Public,235,300,310,360
890332,Public,105,100,100,125
890987,Public,295,190,170,115
897353,Public,215,160,155,230
967740,Public,540,560,420,510
893675,Public,365,335,340,435
913260,Public,120,0,0,0
901439,Public,410,440,430,495
940968,Public,0,0,0,215
940925,Public,0,10,15,70
912433,Public,385,375,370,400
911773,Public,0,10,10,10
918300,Public,360,385,375,410
924393,Public,285,295,275,360
926736,Public,420,425,345,365
928160,Public,315,335,325,435
932060,Public,330,325,320,380
947539,Public,200,220,250,320
953121,Public,595,535,535,600
689750,Catholic,495,490,555,625
689386,Catholic,300,305,305,350
695343,Catholic,275,270,235,500
838541,Catholic,0,0,55,245
800430,Catholic,335,355,340,445
694134,Catholic,390,345,380,430
827401,Catholic,200,200,220,275
855685,Catholic,425,455,480,630
891894,Public,280,265,270,345
898848,Public,255,215,210,355
916579,Public,200,220,175,240
913081,Public,270,215,225,310
891401,Public,0,10,10,15
934262,Public,0,0,10,30
894432,Public,310,250,225,330
932507,Public,260,245,255,290
927163,Public,10,0,10,35
939730,Public,300,280,260,365
941328,Public,315,305,270,380
941719,Public,140,185,225,310
942448,Public,165,155,205,215
918563,Public,0,0,10,60
950653,Public,280,265,215,320
951820,Public,315,350,340,480
952478,Public,335,330,280,335
893803,Public,205,215,190,260
899275,Public,210,215,225,255
900478,Public,110,100,115,140
927252,Public,250,220,230,265
924179,Public,40,65,10,10
929980,Public,100,90,95,125
936618,Public,130,120,115,115
948705,Public,130,95,120,120
771686,Catholic,145,155,135,170
832545,Catholic,175,215,185,250
713996,Catholic,0,0,10,40
776076,Catholic,255,170,190,210
918598,Public,45,55,45,65
890464,Public,285,240,255,225
895539,Public,310,270,250,250
898260,Public,120,115,100,145
899224,Public,0,0,10,240
901687,Public,235,230,205,185
901512,Public,40,30,40,35
967836,Public,275,275,285,290
903078,Public,205,210,190,200
903337,Public,180,185,175,215
906719,Public,225,205,230,245
930059,Public,0,10,10,10
919195,Public,150,140,110,125
931543,Public,60,80,60,70
935182,Public,0,0,20,245
936090,Public,55,50,65,70
947563,Public,330,305,260,295
894230,Public,125,105,115,160
902748,Public,10,10,10,10
905283,Public,140,110,135,190
918113,Public,15,15,15,15
937789,Public,50,65,50,60
936871,Public,105,110,135,160
864471,Catholic,105,90,80,90
915424,Public,185,190,210,245
914410,Public,0,10,10,30
950848,Public,165,165,155,190
952087,Public,265,220,290,290
891274,Public,110,80,105,130
895148,Public,50,45,40,75
919322,Public,255,235,270,315
890861,Public,220,185,185,235
918938,Public,115,155,135,185
921408,Public,205,190,190,205
921530,Public,120,145,150,210
910228,Public,120,105,100,175
930636,Public,295,290,250,310
938696,Public,20,40,15,40
948446,Public,65,65,95,125
950521,Public,125,125,120,185
945437,Public,0,0,10,70
893773,Public,115,120,110,160
909181,Public,85,85,80,130
911135,Public,255,230,230,275
930348,Public,40,45,30,45
936740,Public,10,10,20,180
931089,Public,255,235,230,230
920592,Public,175,150,150,250
962236,Public,10,10,10,10
924130,Public,150,155,135,225
927902,Public,230,205,210,280
890596,Public,20,25,25,25
916233,Public,30,35,35,35
946494,Public,170,155,145,210
695734,Catholic,255,225,245,310
704253,Catholic,90,105,85,105
724513,Catholic,170,165,180,265
733032,Catholic,315,305,280,240
752827,Catholic,155,130,140,160
810916,Catholic,225,195,185,220
831190,Catholic,125,130,150,165
854280,Catholic,310,235,270,235
763602,Catholic,330,330,270,265
734499,Catholic,60,105,85,190
943630,Public,150,120,120,165
901385,Public,185,180,235,300
925179,Public,30,25,20,35
895145,Public,0,10,0,10
946109,Public,35,35,40,60
934275,Public,135,165,150,170
951463,Public,190,190,185,230
690791,Catholic,255,255,285,305
703796,Catholic,190,195,185,255
715247,Catholic,150,145,145,170
726087,Catholic,165,170,170,165
740195,Catholic,210,235,235,295
699986,Catholic,0,10,10,135
790818,Catholic,105,125,150,155
802740,Catholic,10,10,10,10
773662,Catholic,245,225,265,280
761710,Catholic,130,150,140,185
763659,Catholic,250,205,230,245
740454,Catholic,75,85,75,110
724777,Catholic,190,230,220,225
724742,Catholic,250,295,295,280
721085,Catholic,170,150,170,175
689181,Catholic,150,135,150,195
809020,Catholic,120,90,100,105
759970,Catholic,330,335,305,325
764914,Catholic,305,300,270,285
725623,Catholic,150,200,220,215
864331,Catholic,165,145,190,170
704873,Catholic,165,140,140,155
836265,Catholic,10,230,170,545
816132,Catholic,215,225,205,240
689203,Catholic,170,95,120,110
843296,Catholic,290,285,285,305
847313,Catholic,180,190,190,245
843510,Catholic,400,300,320,375
733288,Catholic,210,265,235,265
890243,Public,195,185,205,235
947210,Public,0,0,0,825
894362,Public,150,145,180,220
896705,Public,105,100,100,160
906514,Public,155,160,185,205
898317,Public,250,285,255,275
902586,Public,270,250,265,305
906484,Public,350,330,325,355
907898,Public,10,10,35,240
911143,Public,0,10,25,150
912697,Public,275,290,325,385
913472,Public,185,180,205,330
916854,Public,100,115,105,145
918954,Public,325,315,340,355
926195,Public,0,0,0,15
922960,Public,190,195,215,270
900494,Public,380,350,285,325
925691,Public,370,330,290,220
928291,Public,300,325,300,270
929425,Public,0,10,15,145
932710,Public,120,110,115,115
923639,Public,240,350,390,525
925403,Public,70,70,55,165
939420,Public,0,10,15,165
938564,Public,115,155,165,270
942952,Public,60,75,60,115
942014,Public,185,165,155,195
942332,Public,220,240,205,260
942855,Public,345,360,285,320
949159,Public,10,10,10,10
951366,Public,310,310,310,290
954420,Public,185,215,205,290
901887,Public,15,15,10,40
892203,Public,305,290,300,325
895920,Public,295,240,275,265
896055,Public,360,380,350,375
918407,Public,460,460,490,490
899003,Public,300,315,335,340
899828,Public,270,285,285,325
901342,Public,350,320,315,335
901660,Public,135,130,160,235
909673,Public,400,360,370,405
909092,Public,270,215,205,230
910058,Public,450,485,415,480
913189,Public,250,280,265,270
943916,Public,485,415,425,425
916269,Public,295,305,300,270
917559,Public,250,310,335,380
935244,Public,275,310,280,315
918830,Public,405,455,420,455
930679,Public,95,105,100,195
952885,Public,180,230,220,310
924008,Public,220,240,225,240
904203,Public,295,330,360,355
925349,Public,475,480,485,485
925551,Public,265,255,250,310
925535,Public,240,265,280,300
930660,Public,350,315,335,295
905838,Public,10,10,10,70
918210,Public,10,10,0,10
943381,Public,0,0,10,280
918202,Public,10,10,0,20
958431,Public,0,0,10,150
935832,Public,345,305,305,380
938009,Public,305,400,365,510
939596,Public,235,255,255,280
962646,Public,275,285,355,430
945978,Public,180,265,220,245
948187,Public,190,170,180,260
954403,Public,295,295,300,305
918440,Public,400,375,345,440
951404,Public,85,105,105,220
704261,Catholic,175,165,180,195
720240,Catholic,140,170,135,180
830410,Catholic,160,190,230,200
845361,Catholic,255,275,260,275
851116,Catholic,285,290,260,315
855006,Catholic,65,70,65,60
728896,Catholic,0,0,10,0
911609,Public,0,0,0,45
941542,Public,0,0,0,165
901121,Public,50,40,45,40
895237,Public,95,100,120,150
909319,Public,95,95,105,155
920622,Public,200,155,180,215
923354,Public,65,75,65,60
923486,Public,185,215,195,240
923613,Public,120,155,115,130
924679,Public,105,90,85,120
902935,Public,0,0,0,35
926386,Public,0,10,0,10
941298,Public,95,110,105,155
892939,Public,25,35,30,30
910872,Public,165,155,165,200
937657,Public,25,35,25,30
689939,Catholic,175,165,165,165
712927,Catholic,10,10,15,10
814962,Catholic,125,95,90,155
892416,Public,155,145,140,185
925365,Public,145,150,130,195
904767,Public,75,60,65,80
924431,Public,45,65,60,95
932434,Public,90,110,80,125
937916,Public,85,65,80,85
937983,Public,0,0,0,80
902747,Public,100,115,100,125
893064,Public,400,410,370,405
893323,Public,330,315,315,310
894060,Public,345,375,385,480
895792,Public,325,325,310,325
902551,Public,355,380,335,380
907383,Public,345,335,285,375
908274,Public,120,130,105,110
928151,Public,255,255,215,225
918253,Public,300,225,450,460
956413,Public,280,200,10,0
927724,Public,370,300,345,345
902636,Public,200,160,175,185
968729,Public,285,275,300,340
917231,Public,10,15,55,315
945196,Public,75,85,65,100
948870,Public,190,200,175,225
711098,Catholic,240,205,210,205
723630,Catholic,135,110,100,125
751103,Catholic,180,160,180,180
786691,Catholic,55,60,50,70
801275,Catholic,240,265,255,260
813389,Catholic,190,205,180,245
844012,Catholic,195,325,335,290
852775,Catholic,175,165,210,250
773050,Catholic,175,190,185,190
836788,Catholic,260,340,325,380
864366,Catholic,325,285,295,355
799200,Catholic,0,10,0,10
689351,Catholic,110,85,95,85
730963,Catholic,60,40,45,50
777196,Catholic,130,130,100,115
783358,Catholic,220,215,230,240
912565,Public,45,45,45,50
940666,Public,25,20,25,25
924652,Public,15,15,10,20
924784,Public,40,45,40,45
929336,Public,45,35,35,45
890073,Public,365,350,285,470
892670,Public,100,85,75,100
947148,Public,10,35,40,40
899305,Public,215,150,165,155
901644,Public,240,245,230,310
902420,Public,245,215,220,300
906581,Public,245,235,250,310
911259,Public,0,0,0,50
912824,Public,40,45,40,60
912956,Public,205,170,200,250
914908,Public,370,360,400,635
918024,Public,190,205,200,225
918156,Public,230,205,175,230
