School Number,Year,School Type,School Level,Grade 1 Enrolment,Grade 2 Enrolment,Grade 3 Enrolment,Grade 4 Enrolment,Grade 5 Enrolment,Grade 6 Enrolment,Grade 7 Enrolment,Grade 8 Enrolment,Grade 9 Enrolment,Grade 10 Enrolment,Grade 11 Enrolment,Grade 12 Enrolment
919454,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,150,115,115,160
151668,2021-2022,Public,Elementary,0,0,0,0,0,0,105,90,0,0,0,0
293750,2021-2022,Public,Elementary,55,70,0,0,0,0,0,0,0,0,0,0
323900,2021-2022,Public,Elementary,15,20,15,10,15,15,10,10,0,0,0,0
198978,2021-2022,Public,Elementary,65,50,50,60,65,75,50,75,0,0,0,0
364290,2021-2022,Public,Elementary,15,20,20,25,15,20,10,20,0,0,0,0
401129,2021-2022,Public,Elementary,20,25,15,25,10,20,15,15,0,0,0,0
403741,2021-2022,Public,Elementary,60,65,50,55,50,50,0,0,0,0,0,0
93939,2021-2022,Public,Elementary,30,30,40,35,40,35,45,40,0,0,0,0
951692,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,295,255,295,395
431028,2021-2022,Public,Elementary,15,15,10,10,10,10,10,20,0,0,0,0
953253,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,25,35,40,35
605743,2021-2022,Public,Elementary,40,35,25,20,35,30,35,45,0,0,0,0
450910,2021-2022,Public,Elementary,95,80,70,85,85,75,0,0,0,0,0,0
484970,2021-2022,Public,Elementary,35,40,25,35,20,30,35,25,0,0,0,0
940127,2021-2022,Public,Secondary,0,0,0,0,0,0,0,0,140,175,170,200
290604,2021-2022,Public,Elementary,0,0,0,0,0,0,130,150,0,0,0,0
