School Number,Year,School Type,School Level,Grade 1 Enrolment,Grade 2 Enrolment,Grade 3 Enrolment,Grade 4 Enrolment,Grade 5 Enrolment,Grade 6 Enrolment,Grade 7 Enrolment,Grade 8 Enrolment,Grade 9 Enrolment,Grade 10 Enrolment,Grade 11 Enrolment,Grade 12 Enrolment,Total Enrolment
504475,2019-2020,Public,Elementary,35,25,35,25,30,30,35,30,0,0,0,0,245
507725,2019-2020,Public,Elementary,15,20,25,20,25,15,0,0,0,0,0,0,120
943118,2019-2020,Public,Secondary,0,0,0,0,0,0,0,0,120,110,105,120,455
469900,2019-2020,Public,Elementary,0,0,0,0,0,0,90,85,0,0,0,0,175
523267,2019-2020,Public,Elementary,15,20,15,10,15,20,15,15,0,0,0,0,125
528650,2019-2020,Public,Elementary,15,20,25,25,20,15,15,20,0,0,0,0,155
944807,2019-2020,Public,Secondary,0,0,0,0,0,0,0,0,105,100,100,135,440
100438,2019-2020,Public,Elementary,0,0,0,0,0,0,70,60,0,0,0,0,130
535508,2019-2020,Public,Elementary,25,20,20,15,30,25,0,0,0,0,0,0,135
566667,2019-2020,Public,Elementary,60,80,65,75,75,80,0,0,0,0,0,0,435
552585,2019-2020,Public,Elementary,55,60,50,65,60,55,60,45,0,0,0,0,450
340804,2019-2020,Public,Elementary,25,20,25,25,25,15,15,15,0,0,0,0,165
896969,2019-2020,Public,Secondary,0,0,0,0,0,0,0,0,25,20,15,20,80
169200,2019-2020,Public,Elementary,30,40,35,30,30,40,30,25,0,0,0,0,260
135143,2019-2020,Public,Elementary,35,30,25,25,25,25,0,0,0,0,0,0,165
458554,2019-2020,Public,Elementary,55,60,0,0,0,0,0,0,0,0,0,0,115
331307,2019-2020,Public,Elementary,80,90,95,90,75,90,95,70,0,0,0,0,685
167649,2019-2020,Public,Elementary,20,20,25,25,20,20,15,25,0,0,0,0,170
293776,2019-2020,Public,Elementary,40,40,25,35,30,25,0,0,0,0,0,0,195
524239,2019-2020,Public,Elementary,40,35,30,35,35,45,25,20,0,0,0,0,265
180789,2019-2020,Public,Elementary,0,0,0,65,60,65,60,65,0,0,0,0,315
925438,2019-2020,Public,Secondary,0,0,0,0,0,0,0,0,60,80,80,95,315
914444,2019-2020,Public,Secondary,0,0,0,0,0,0,0,0,140,140,140,190,610
281131,2019-2020,Public,Elementary,45,40,45,45,50,60,0,0,0,0,0,0,285
253316,2019-2020,Public,Elementary,40,30,35,35,35,35,30,40,0,0,0,0,280
152820,2019-2020,Public,Elementary,0,0,65,55,55,65,55,50,0,0,0,0,345
257168,2019-2020,Public,Elementary,15,10,15,10,10,15,10,10,0,0,0,0,95
257869,2019-2020,Public,Elementary,35,50,35,65,60,60,115,120,0,0,0,0,540
262935,2019-2020,Public,Elementary,25,30,30,30,25,20,30,20,0,0,0,0,210
273775,2019-2020,Public,Elementary,0,0,65,80,65,70,0,0,0,0,0,0,280
915556,2019-2020,Public,Secondary,0,0,0,0,0,0,0,0,150,145,130,200,625
291030,2019-2020,Public,Elementary,55,40,65,40,45,35,0,0,0,0,0,0,280
919454,2019-2020,Public,Secondary,0,0,0,0,0,0,0,0,120,125,125,140,510
151668,2019-2020,Public,Elementary,0,0,0,0,0,0,80,80,0,0,0,0,160
293750,2019-2020,Public,Elementary,70,80,0,0,0,0,0,0,0,0,0,0,150
323900,2019-2020,Public,Elementary,20,10,20,15,10,10,15,10,0,0,0,0,110
198978,2019-2020,Public,Elementary,55,60,60,55,55,55,65,45,0,0,0,0,450
364290,2019-2020,Public,Elementary,15,20,15,20,10,20,20,20,0,0,0,0,140
401129,2019-2020,Public,Elementary,15,30,10,20,20,15,20,20,0,0,0,0,150
403741,2019-2020,Public,Elementary,50,50,50,55,45,55,0,0,0,0,0,0,305
951692,2019-2020,Public,Secondary,0,0,0,0,0,0,0,0,290,265,265,375,1195
431028,2019-2020,Public,Elementary,15,10,10,10,10,20,10,15,0,0,0,0,100
605743,2019-2020,Public,Elementary,25,20,35,35,40,40,15,30,0,0,0,0,240
953253,2019-2020,Public,Secondary,0,0,0,0,0,0,0,0,40,35,40,45,160
450910,2019-2020,Public,Elementary,75,70,75,75,55,80,0,0,0,0,0,0,430
484970,2019-2020,Public,Elementary,30,35,20,25,30,20,45,25,0,0,0,0,230
940127,2019-2020,Public,Secondary,0,0,0,0,0,0,0,0,160,145,110,180,595
290604,2019-2020,Public,Elementary,0,0,0,0,0,0,105,130,0,0,0,0,235
155683,2019-2020,Public,Elementary,40,25,40,40,30,40,40,50,0,0,0,0,305
529826,2019-2020,Public,Elementary,10,10,10,0,0,0,0,0,0,0,0,0,30
540200,2019-2020,Public,Elementary,10,10,15,15,10,15,15,15,0,0,0,0,105
950262,2019-2020,Public,Secondary,0,0,0,0,0,0,0,0,95,90,85,120,390
569565,2019-2020,Public,Elementary,35,40,40,35,40,40,55,45,0,0,0,0,330
688088,2019-2020,Catholic,Secondary,0,0,0,0,0,0,0,0,375,405,370,410,1560
